Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S1000,Maria,Brown,student1000@univ.edu,Male,22,Engineering,69.76,58.73,74.93,63.83,80.35,93.71,66.05,70.101,B
S1001,Sara,Smith,student1001@univ.edu,Male,25,CS,56.14,48.77,88.0,79.81,74.17,52.96,59.83,69.788,C
S1002,Liam,Brown,student1002@univ.edu,Male,21,Business,94.13,82.83,93.03,77.66,92.63,80.98,69.05,85.754,A
S1003,Liam,Johnson,student1003@univ.edu,Male,23,Engineering,89.94,41.64,73.85,55.85,92.83,76.23,43.59,65.308,C
S1004,Ali,Davis,student1004@univ.edu,Male,19,CS,56.71,50.46,81.98,67.56,84.66,43.65,77.92,68.931,C
S1005,Ahmed,Smith,student1005@univ.edu,Female,20,CS,61.56,44.74,93.04,99.7,60.16,93.64,54.28,74.097,B
S1006,Ahmed,Williams,student1006@univ.edu,Female,21,Engineering,76.94,59.97,74.21,75.18,91.98,92.74,95.71,76.634,B
S1007,Sara,Jones,student1007@univ.edu,Male,24,CS,73.39,71.94,71.82,72.06,96.92,99.88,64.62,75.23,B
S1008,Emma,Smith,student1008@univ.edu,Male,25,CS,68.01,68.02,86.92,68.78,80.32,41.32,75.61,74.457,B
S1009,John,Johnson,student1009@univ.edu,Female,25,CS,97.26,95.93,61.14,62.88,99.52,96.16,77.54,79.2,B
S1010,Maria,Johnson,student1010@univ.edu,Male,18,Mathematics,84.63,92.83,50.72,55.57,85.87,94.78,46.97,68.603,C
S1011,Ali,Brown,student1011@univ.edu,Female,21,Engineering,58.88,92.81,77.84,82.46,87.36,56.68,72.12,78.953,B
S1012,Ahmed,Johnson,student1012@univ.edu,Male,20,Business,50.16,51.29,94.18,92.48,83.53,81.19,62.54,76.067,B
S1013,Ahmed,Davis,student1013@univ.edu,Female,25,Business,53.65,78.75,57.85,61.53,96.86,47.58,98.43,69.608,C
S1014,Ali,Jones,student1014@univ.edu,Female,20,CS,53.02,79.58,50.64,67.8,70.26,80.22,56.69,63.286,C
S1015,Ali,Smith,student1015@univ.edu,Male,22,Business,51.92,57.34,46.24,84.4,53.3,80.08,84.92,61.018,C
S1016,Omar,Jones,student1016@univ.edu,Female,24,Business,98.9,88.36,57.37,76.39,77.71,72.16,93.28,76.939,B
